=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
200.0,552.9219,510.6414,0.0294
220.0,546.7969,512.0587,0.028
240.0,546.2344,511.3049,0.0324
260.0,562.1875,512.0322,0.034
280.0,566.0781,510.7312,0.0338
300.0,553.4531,511.4364,0.0335
320.0,578.625,510.744,0.0406
340.0,566.6094,514.3308,0.0417
360.0,578.7031,508.687,0.0406
380.0,551.1562,511.261,0.0316
400.0,567.8906,513.694,0.0408
420.0,575.0938,509.0864,0.0417
440.0,567.9219,511.5088,0.0443
460.0,562.8594,514.0097,0.0383
480.0,573.9531,509.468,0.043
500.0,575.2969,513.8744,0.0401
520.0,559.1094,510.7669,0.0442
540.0,577.7812,512.021,0.0435
560.0,576.4844,512.174,0.0418
580.0,563.1719,511.1956,0.0385
600.0,578.1406,511.0874,0.0488
620.0,576.8906,511.7027,0.0537
640.0,611.875,509.3162,0.065
660.0,592.2188,512.4353,0.0571
680.0,579.7969,511.0606,0.0576
700.0,566.7031,511.7278,0.0497
720.0,593.0938,509.9706,0.0586
740.0,579.5469,512.0684,0.0562
760.0,563.875,511.3332,0.041
780.0,570.6562,509.9084,0.0431
800.0,577.5312,511.9443,0.043
820.0,592.6406,510.1461,0.0485
840.0,579.8438,511.9062,0.0481
860.0,571.9375,510.6072,0.046
880.0,568.9375,510.8423,0.0478
900.0,572.9375,511.4572,0.05
920.0,560.0,510.2674,0.0468
940.0,612.3594,512.072,0.0605
960.0,605.75,510.3994,0.0716
980.0,624.5,511.8764,0.0609
1000.0,607.1562,511.8934,0.0603
1020.0,579.2188,510.2018,0.044
1040.0,593.5,510.4379,0.0622
1060.0,615.5781,512.2181,0.0596
1080.0,586.5312,511.3034,0.059
1100.0,594.9844,510.5681,0.0578
1120.0,571.3594,512.3141,0.0582
1140.0,596.3281,509.271,0.0714
1160.0,577.6875,511.6514,0.0612
1180.0,585.0,511.7013,0.0597
1200.0,586.75,510.1336,0.06
1220.0,580.3438,511.6988,0.0663
1240.0,568.9531,511.0516,0.0462
1260.0,555.3906,510.5541,0.0348
1280.0,563.2969,511.9062,0.0334
1300.0,566.6562,511.1178,0.04
1320.0,567.7656,510.6108,0.0386
1340.0,551.6562,511.6055,0.0317
1360.0,571.6719,509.405,0.033
1380.0,542.1719,511.068,0.0299
1400.0,546.875,510.9696,0.0245
1420.0,565.3281,511.2085,0.0385
1440.0,565.25,511.5021,0.0433
1460.0,555.1562,511.0372,0.0343
1480.0,560.25,511.1832,0.0332
1500.0,556.9531,512.9762,0.0331
1520.0,567.7031,510.3785,0.0445
1540.0,582.75,511.57,0.043
1560.0,553.6406,511.9545,0.036
1580.0,558.4688,510.078,0.0342
1600.0,550.2969,511.8025,0.033
1620.0,567.7031,510.8194,0.0397
1640.0,571.3281,512.2652,0.0429
1660.0,568.1406,512.5592,0.0422
1680.0,552.8438,511.5586,0.0361
1700.0,559.75,512.088,0.0312
1720.0,548.3594,511.6779,0.0307
1740.0,567.1094,512.2416,0.0339
1760.0,562.5,510.9354,0.0409
1780.0,563.7812,512.0301,0.0431
1800.0,558.6719,511.4371,0.0347
1820.0,554.9062,511.4812,0.0293
1840.0,555.3438,511.7369,0.0317
1860.0,561.1875,511.476,0.0357
1880.0,576.2656,512.4844,0.038
1900.0,566.7656,510.5798,0.036
1920.0,548.875,512.7716,0.0355
1940.0,547.1875,511.2058,0.0307
1960.0,550.2188,512.0908,0.0296
1980.0,551.2656,511.4813,0.033
2000.0,563.2188,512.0014,0.0308
2020.0,551.7656,511.5796,0.0286
2040.0,561.8594,511.846,0.0274
2060.0,555.1094,511.1148,0.0312
2080.0,553.3906,512.016,0.0307
2100.0,562.6562,511.3736,0.0363
2120.0,549.7656,511.5703,0.0363
2140.0,548.6875,512.5642,0.0305
2160.0,547.875,510.1766,0.0282
2180.0,546.7344,512.8211,0.0258
2200.0,557.4219,511.6269,0.0291
2220.0,549.2969,511.355,0.0263
2240.0,552.3438,511.2721,0.0315
2260.0,551.3594,511.5756,0.0268
2280.0,541.8906,511.1224,0.0231
2300.0,560.8281,512.4623,0.028
2320.0,543.75,510.9264,0.0252
2340.0,539.2969,511.0506,0.0221
2360.0,565.5312,512.1914,0.0317
2380.0,537.1562,510.6438,0.0201
2400.0,538.9375,510.906,0.0176
2420.0,548.2812,511.5565,0.0253
2440.0,537.3125,511.1197,0.0168
2460.0,534.3594,511.5816,0.0163
2480.0,546.2344,510.9248,0.0204
