epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.7320,0.0000,0.0000,0.0000,0.00300,69.4
1,HAT,0.9503,0.8926,0.3011,0.4503,0.00300,70.3
2,HAT,0.4206,0.9437,0.3000,0.4553,0.00299,68.8
3,HAT,0.4110,0.9054,0.3424,0.4968,0.00299,69.8
4,HAT,0.4163,0.8721,0.3628,0.5124,0.00298,69.0
5,HAT,0.4197,0.8798,0.3640,0.5150,0.00297,70.6
6,HAT,0.4383,0.9207,0.3445,0.5014,0.00296,68.6
7,HAT,0.4045,0.9258,0.3294,0.4859,0.00295,73.3
8,HAT,0.4039,0.9309,0.3256,0.4824,0.00294,72.2
9,HAT,0.4257,0.8849,0.3593,0.5111,0.00293,72.6
10,HAT,0.4009,0.9028,0.3505,0.5050,0.00291,70.6
11,HAT,0.4071,0.8798,0.3683,0.5192,0.00289,70.3
12,HAT,0.4033,0.9130,0.3355,0.4907,0.00288,68.5
13,HAT,0.4232,0.8312,0.3874,0.5285,0.00286,72.9
14,HAT,0.4073,0.8491,0.3865,0.5312,0.00284,71.3
15,HAT,0.4341,0.8645,0.3885,0.5361,0.00281,73.9
16,HAT,0.4089,0.9028,0.3555,0.5101,0.00279,70.6
17,HAT,0.4015,0.9309,0.3072,0.4619,0.00277,70.8
18,HAT,0.4164,0.9156,0.3157,0.4695,0.00274,70.7
19,HAT,0.4233,0.9003,0.3311,0.4842,0.00271,70.9
20,HAT,0.4005,0.9284,0.3157,0.4711,0.00269,73.8
21,HAT,0.4144,0.9105,0.3318,0.4863,0.00266,72.0
22,HAT,0.4038,0.9156,0.3255,0.4802,0.00263,71.5
23,HAT,0.4051,0.9233,0.3321,0.4885,0.00259,73.0
24,HAT,0.4055,0.9182,0.3390,0.4952,0.00256,72.2
25,HAT,0.4161,0.9079,0.3410,0.4958,0.00253,69.2
26,HAT,0.3947,0.9284,0.3270,0.4837,0.00249,72.4
27,HAT,0.4053,0.9130,0.3381,0.4934,0.00246,73.5
28,HAT,0.4100,0.9284,0.3291,0.4859,0.00242,70.4
29,HAT,0.3878,0.8696,0.3895,0.5380,0.00238,68.4
30,HAT,0.3992,0.8440,0.4120,0.5537,0.00234,71.9
31,HAT,0.3980,0.8338,0.4095,0.5493,0.00230,71.1
32,HAT,0.4107,0.8542,0.3976,0.5426,0.00226,71.2
33,HAT,0.4041,0.8542,0.4063,0.5507,0.00222,71.6
34,HAT,0.3944,0.8542,0.4083,0.5525,0.00218,69.0
35,HAT,0.3968,0.8414,0.4113,0.5525,0.00214,73.5
36,HAT,0.3957,0.8235,0.4460,0.5786,0.00210,73.3
37,HAT,0.3992,0.8593,0.4164,0.5609,0.00205,75.2
38,HAT,0.3896,0.9156,0.3541,0.5107,0.00201,71.7
39,HAT,0.4110,0.8721,0.4060,0.5540,0.00196,70.5
40,HAT,0.3971,0.8875,0.4078,0.5588,0.00192,71.4
41,HAT,0.3888,0.8772,0.4045,0.5537,0.00187,71.7
42,HAT,0.3904,0.8849,0.4019,0.5527,0.00183,71.6
43,HAT,0.4000,0.8849,0.4047,0.5554,0.00178,71.9
44,HAT,0.4005,0.8900,0.4051,0.5568,0.00173,72.1
45,HAT,0.3942,0.8849,0.4090,0.5594,0.00169,70.3
46,HAT,0.3821,0.8849,0.4075,0.5581,0.00164,75.6
47,HAT,0.3890,0.8772,0.4045,0.5537,0.00159,60.8
48,HAT,0.4022,0.8824,0.4102,0.5601,0.00155,51.5
49,HAT,0.3910,0.8900,0.4089,0.5604,0.00150,56.5
50,QAT,0.3979,0.9105,0.3812,0.5374,0.00145,61.9
51,QAT,0.3907,0.9079,0.3867,0.5424,0.00141,54.6
52,QAT,0.3914,0.9079,0.3905,0.5462,0.00136,47.5
53,QAT,0.3938,0.9054,0.3877,0.5429,0.00131,45.3
54,QAT,0.3818,0.9079,0.3880,0.5436,0.00127,45.6
55,QAT,0.3775,0.9028,0.4062,0.5603,0.00122,45.3
56,QAT,0.4018,0.9003,0.4161,0.5691,0.00117,45.5
57,QAT,0.3970,0.9105,0.3882,0.5443,0.00113,44.7
58,QAT,0.3884,0.9028,0.4284,0.5811,0.00108,37.4
59,QAT,0.4045,0.9054,0.3865,0.5417,0.00104,37.5
60,QAT,0.3968,0.9028,0.3858,0.5406,0.00099,37.0
61,QAT,0.3814,0.9003,0.3847,0.5391,0.00095,36.9
62,QAT,0.3954,0.9488,0.2942,0.4492,0.00090,37.1
63,QAT,0.4029,0.9028,0.3829,0.5377,0.00086,38.4
64,QAT,0.4083,0.8977,0.4034,0.5567,0.00082,39.4
65,QAT,0.3916,0.9412,0.2958,0.4502,0.00078,36.5
66,QAT,0.3967,0.8875,0.4211,0.5712,0.00074,37.1
67,QAT,0.3779,0.9437,0.2959,0.4505,0.00070,36.6
68,QAT,0.3839,0.9003,0.3920,0.5462,0.00066,36.3
69,QAT,0.3970,0.8977,0.3815,0.5355,0.00062,36.8
70,QAT,0.3935,0.8951,0.3872,0.5405,0.00058,36.7
71,QAT,0.3929,0.9412,0.2951,0.4493,0.00054,36.7
72,QAT,0.3957,0.9028,0.3892,0.5439,0.00051,36.5
73,QAT,0.4025,0.9437,0.2950,0.4495,0.00047,37.2
