epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.4746,0.3274,0.1188,0.1744,0.00300,93.9
1,HAT,1.1081,0.4246,0.1473,0.2187,0.00300,87.2
2,HAT,0.9619,0.5575,0.1293,0.2099,0.00299,90.0
3,HAT,0.8016,0.8031,0.2086,0.3312,0.00299,91.8
4,HAT,0.7329,0.7801,0.2204,0.3437,0.00298,90.8
5,HAT,0.7092,0.8542,0.1956,0.3182,0.00297,87.1
6,HAT,0.6937,0.8210,0.2064,0.3299,0.00296,88.9
7,HAT,0.6858,0.7468,0.2384,0.3614,0.00295,94.1
8,HAT,0.7046,0.6164,0.2462,0.3518,0.00294,89.9
9,HAT,0.7272,0.5038,0.2790,0.3592,0.00293,89.3
10,HAT,0.6978,0.5192,0.2884,0.3708,0.00291,89.1
11,HAT,0.7184,0.4757,0.2943,0.3636,0.00289,92.6
12,HAT,0.7133,0.3990,0.2966,0.3402,0.00288,90.1
13,HAT,0.6918,0.6317,0.2782,0.3862,0.00286,91.8
14,HAT,0.6460,0.7570,0.3113,0.4411,0.00284,93.4
15,HAT,0.6239,0.6266,0.3398,0.4406,0.00281,89.5
16,HAT,0.6301,0.6854,0.3418,0.4562,0.00279,89.7
17,HAT,0.6368,0.6164,0.3560,0.4513,0.00277,87.8
18,HAT,0.6443,0.6164,0.3597,0.4543,0.00274,91.7
19,HAT,0.6328,0.5857,0.4011,0.4761,0.00271,90.6
20,HAT,0.6524,0.5652,0.4186,0.4810,0.00269,84.7
21,HAT,0.6452,0.5601,0.4228,0.4818,0.00266,88.1
22,HAT,0.6454,0.5934,0.4128,0.4869,0.00263,87.6
23,HAT,0.6320,0.6138,0.3922,0.4786,0.00259,91.7
24,HAT,0.6433,0.5601,0.4337,0.4888,0.00256,100.2
25,HAT,0.6333,0.5575,0.4217,0.4802,0.00253,88.9
26,HAT,0.6458,0.5601,0.4179,0.4787,0.00249,89.3
27,HAT,0.6307,0.5652,0.4131,0.4773,0.00246,88.0
28,HAT,0.6426,0.5934,0.4035,0.4803,0.00242,89.6
29,HAT,0.6404,0.5857,0.3976,0.4736,0.00238,89.7
30,HAT,0.6324,0.5652,0.4162,0.4794,0.00234,90.1
31,HAT,0.6315,0.5934,0.4092,0.4843,0.00230,89.7
32,HAT,0.6304,0.5627,0.4215,0.4819,0.00226,87.0
33,HAT,0.6359,0.2839,0.4205,0.3389,0.00222,90.8
34,HAT,0.6533,0.3529,0.4083,0.3786,0.00218,90.3
35,HAT,0.6147,0.6522,0.3917,0.4894,0.00214,88.8
36,HAT,0.6072,0.6240,0.4185,0.5010,0.00210,89.1
37,HAT,0.6192,0.4041,0.4501,0.4259,0.00205,89.7
38,HAT,0.6388,0.3913,0.4371,0.4130,0.00201,89.7
39,HAT,0.6399,0.6138,0.4145,0.4948,0.00196,91.1
40,HAT,0.6319,0.3632,0.4410,0.3983,0.00192,86.3
41,HAT,0.6405,0.4680,0.4236,0.4447,0.00187,89.5
42,HAT,0.6520,0.4655,0.4262,0.4450,0.00183,87.8
43,HAT,0.6352,0.5985,0.4194,0.4932,0.00178,87.4
44,HAT,0.6585,0.4322,0.4246,0.4284,0.00173,89.1
45,HAT,0.6453,0.4731,0.4205,0.4452,0.00169,89.7
46,HAT,0.6454,0.4936,0.4327,0.4612,0.00164,90.5
47,HAT,0.6445,0.4859,0.4308,0.4567,0.00159,89.7
48,HAT,0.6410,0.3427,0.4323,0.3823,0.00155,89.3
49,HAT,0.6340,0.4552,0.4269,0.4406,0.00150,88.5
50,QAT,0.6257,0.6036,0.4229,0.4974,0.00145,90.4
51,QAT,0.6024,0.6419,0.3984,0.4917,0.00141,89.9
52,QAT,0.6182,0.6368,0.4143,0.5020,0.00136,92.3
53,QAT,0.6116,0.6240,0.4007,0.4880,0.00131,88.9
54,QAT,0.6097,0.6240,0.4033,0.4900,0.00127,90.6
55,QAT,0.6121,0.6701,0.3479,0.4580,0.00122,87.1
56,QAT,0.5979,0.6496,0.3797,0.4792,0.00117,88.2
57,QAT,0.6002,0.6368,0.3997,0.4911,0.00113,90.4
58,QAT,0.6049,0.6547,0.3951,0.4928,0.00108,92.5
59,QAT,0.6077,0.6343,0.4232,0.5077,0.00104,89.1
60,QAT,0.6083,0.6164,0.4258,0.5037,0.00099,92.0
61,QAT,0.6122,0.6215,0.4050,0.4904,0.00095,88.3
62,QAT,0.6137,0.6522,0.4140,0.5065,0.00090,73.0
63,QAT,0.6088,0.6215,0.4197,0.5010,0.00086,60.8
64,QAT,0.6140,0.6471,0.3880,0.4851,0.00082,60.2
65,QAT,0.6115,0.6292,0.3930,0.4838,0.00078,63.5
66,QAT,0.6149,0.6368,0.3946,0.4873,0.00074,73.4
67,QAT,0.6199,0.6317,0.3921,0.4838,0.00070,66.4
68,QAT,0.6181,0.6471,0.3886,0.4856,0.00066,67.5
69,QAT,0.6225,0.3529,0.4000,0.3750,0.00062,68.1
70,QAT,0.6228,0.6189,0.4116,0.4944,0.00058,66.4
71,QAT,0.6252,0.6343,0.3918,0.4844,0.00054,67.8
72,QAT,0.6256,0.4629,0.4383,0.4502,0.00051,71.6
73,QAT,0.6208,0.3376,0.4125,0.3713,0.00047,66.8
74,QAT,0.6388,0.3581,0.3989,0.3774,0.00044,65.2
