epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,2.3530,0.6292,0.3011,0.4073,0.00300,111.7
1,HAT,2.0470,0.7826,0.2812,0.4138,0.00300,89.2
2,HAT,1.9389,0.6394,0.2948,0.4036,0.00299,96.4
3,HAT,1.8501,0.7980,0.2713,0.4049,0.00299,89.5
4,HAT,1.7660,0.7980,0.2813,0.4160,0.00298,87.4
5,HAT,1.7287,0.8414,0.2437,0.3779,0.00297,73.6
6,HAT,1.7362,0.8107,0.2689,0.4038,0.00296,75.8
7,HAT,1.6929,0.8261,0.2635,0.3995,0.00295,73.6
8,HAT,1.6032,0.8133,0.2739,0.4098,0.00294,77.5
9,HAT,1.5701,0.7673,0.2742,0.4040,0.00293,72.5
10,HAT,1.5129,0.7877,0.2792,0.4123,0.00291,75.7
11,HAT,1.4964,0.7877,0.2797,0.4129,0.00289,73.9
12,HAT,1.4709,0.7724,0.2833,0.4146,0.00288,74.5
13,HAT,1.4638,0.7749,0.2732,0.4040,0.00286,74.6
14,HAT,1.4781,0.7621,0.2863,0.4162,0.00284,76.9
15,HAT,1.5360,0.7468,0.2908,0.4186,0.00281,74.9
16,HAT,1.5114,0.7673,0.2801,0.4104,0.00279,75.8
17,HAT,1.4749,0.7596,0.2861,0.4157,0.00277,75.8
18,HAT,1.4414,0.7801,0.2704,0.4016,0.00274,72.8
19,HAT,1.4902,0.7673,0.2822,0.4127,0.00271,73.7
20,HAT,1.5001,0.7570,0.2857,0.4149,0.00269,76.7
21,HAT,1.4584,0.7852,0.2693,0.4010,0.00266,74.4
22,HAT,1.5117,0.7775,0.2632,0.3933,0.00263,72.3
23,HAT,1.5178,0.6752,0.2882,0.4040,0.00259,76.2
24,HAT,1.4948,0.7084,0.2745,0.3957,0.00256,75.5
25,HAT,1.5278,0.7212,0.2643,0.3868,0.00253,76.4
26,HAT,1.4643,0.8159,0.2550,0.3886,0.00249,75.4
27,HAT,1.5206,0.7136,0.2564,0.3773,0.00246,73.5
28,HAT,1.5224,0.6982,0.2566,0.3753,0.00242,77.1
29,HAT,1.4784,0.6675,0.2797,0.3943,0.00238,74.9
30,HAT,1.4821,0.6624,0.2709,0.3846,0.00234,75.0
31,QAT,1.4934,0.7340,0.2720,0.3970,0.00230,76.1
32,QAT,1.4755,0.8005,0.2353,0.3637,0.00226,73.5
33,QAT,1.4971,0.6650,0.2624,0.3763,0.00222,75.0
34,QAT,1.5688,0.6854,0.2635,0.3807,0.00218,78.0
35,QAT,1.5065,0.7238,0.2284,0.3472,0.00214,73.7
36,QAT,1.5351,0.7289,0.2273,0.3465,0.00210,76.0
37,QAT,1.5158,0.6803,0.2529,0.3687,0.00205,75.5
38,QAT,1.5254,0.7673,0.2131,0.3335,0.00201,74.6
39,QAT,1.5281,0.7724,0.2087,0.3286,0.00196,75.4
40,QAT,1.5652,0.7212,0.2493,0.3706,0.00192,77.8
41,QAT,1.5344,0.8056,0.1883,0.3052,0.00187,73.6
42,QAT,1.5476,0.6598,0.2409,0.3529,0.00183,75.0
43,QAT,1.5093,0.8005,0.2165,0.3408,0.00178,82.1
44,QAT,1.5626,0.7749,0.2223,0.3455,0.00173,81.1
45,QAT,1.5303,0.6368,0.2782,0.3872,0.00169,65.2
46,QAT,1.5216,0.7238,0.2740,0.3975,0.00164,66.7
47,QAT,1.5106,0.6931,0.2547,0.3725,0.00159,65.8
48,QAT,1.5078,0.6905,0.2495,0.3666,0.00155,66.3
49,QAT,1.5073,0.7801,0.2348,0.3609,0.00150,65.1
50,QAT,1.5134,0.7519,0.2181,0.3381,0.00145,65.7
51,QAT,1.5100,0.7673,0.2239,0.3466,0.00141,66.2
52,QAT,1.5163,0.7033,0.2495,0.3684,0.00136,66.7
53,QAT,1.5072,0.7621,0.2211,0.3427,0.00131,65.6
54,QAT,1.5430,0.6957,0.2600,0.3786,0.00127,65.9
55,QAT,1.5739,0.6496,0.2602,0.3716,0.00122,66.9
56,QAT,1.5369,0.7263,0.2203,0.3381,0.00117,66.7
57,QAT,1.4905,0.7033,0.2379,0.3555,0.00113,67.5
58,QAT,1.5358,0.7698,0.2153,0.3365,0.00108,67.4
59,QAT,1.5196,0.7238,0.2160,0.3327,0.00104,65.5
60,QAT,1.5093,0.7366,0.2159,0.3339,0.00099,66.0
61,QAT,1.5124,0.7110,0.2366,0.3550,0.00095,67.2
