epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.2250,0.4297,0.2593,0.3234,0.00300,90.9
1,HAT,0.7306,0.7570,0.2353,0.3590,0.00300,77.7
2,HAT,0.6482,0.6905,0.2426,0.3590,0.00299,68.0
3,HAT,0.5899,0.7136,0.2546,0.3753,0.00299,118.0
4,HAT,0.5611,0.6675,0.2783,0.3928,0.00298,95.4
5,HAT,0.5235,0.6905,0.2792,0.3976,0.00297,80.8
6,HAT,0.5216,0.8440,0.2519,0.3880,0.00296,83.2
7,HAT,0.5110,0.8363,0.2720,0.4105,0.00295,86.5
8,HAT,0.5100,0.8107,0.3005,0.4385,0.00294,79.2
9,HAT,0.4967,0.6957,0.3337,0.4511,0.00293,74.6
10,HAT,0.5001,0.6777,0.3529,0.4641,0.00291,75.2
11,HAT,0.4900,0.6777,0.3501,0.4617,0.00289,75.2
12,HAT,0.4825,0.8312,0.2886,0.4285,0.00288,73.3
13,HAT,0.4866,0.8414,0.2863,0.4273,0.00286,74.2
14,HAT,0.5001,0.8491,0.2818,0.4232,0.00284,76.1
15,HAT,0.4903,0.8159,0.2831,0.4203,0.00281,75.9
16,HAT,0.4934,0.8005,0.2810,0.4159,0.00279,75.3
17,HAT,0.4972,0.7877,0.2752,0.4079,0.00277,77.8
18,HAT,0.5085,0.6803,0.3197,0.4350,0.00274,75.5
19,HAT,0.5185,0.6777,0.3312,0.4450,0.00271,70.0
20,HAT,0.5080,0.8107,0.2691,0.4041,0.00269,73.2
21,HAT,0.4962,0.8133,0.2643,0.3990,0.00266,73.9
22,HAT,0.5031,0.8159,0.2656,0.4008,0.00263,74.0
23,HAT,0.4980,0.8261,0.2754,0.4130,0.00259,73.8
24,HAT,0.4925,0.7084,0.2832,0.4047,0.00256,76.1
25,HAT,0.5055,0.8005,0.2810,0.4159,0.00253,76.9
26,QAT,0.4995,0.6982,0.3099,0.4292,0.00249,74.6
27,QAT,0.4912,0.5703,0.3030,0.3957,0.00246,74.9
28,QAT,0.5061,0.7545,0.3318,0.4609,0.00242,73.1
29,QAT,0.4900,0.7801,0.3194,0.4532,0.00238,75.2
30,QAT,0.4944,0.7212,0.3735,0.4921,0.00234,75.6
31,QAT,0.4956,0.4246,0.3764,0.3990,0.00230,74.4
32,QAT,0.4920,0.7903,0.3029,0.4380,0.00226,72.8
33,QAT,0.5039,0.7826,0.3155,0.4497,0.00222,73.3
34,QAT,0.4816,0.7775,0.3173,0.4507,0.00218,77.7
35,QAT,0.5041,0.7698,0.3028,0.4347,0.00214,76.4
36,QAT,0.4854,0.8107,0.2954,0.4331,0.00210,75.6
37,QAT,0.4964,0.6905,0.3714,0.4830,0.00205,73.6
38,QAT,0.5083,0.8517,0.2523,0.3892,0.00201,82.0
39,QAT,0.4942,0.6701,0.2873,0.4021,0.00196,75.4
40,QAT,0.5056,0.8056,0.2906,0.4271,0.00192,76.4
41,QAT,0.4961,0.7391,0.3295,0.4558,0.00187,76.2
42,QAT,0.4851,0.7494,0.3352,0.4632,0.00183,72.5
43,QAT,0.4833,0.7954,0.2973,0.4328,0.00178,75.1
44,QAT,0.4748,0.7724,0.3251,0.4576,0.00173,74.0
45,QAT,0.4835,0.7468,0.3341,0.4617,0.00169,75.0
