epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.5423,0.9207,0.2263,0.3633,0.00300,124.0
1,HAT,0.4978,0.8721,0.3434,0.4928,0.00300,133.2
2,HAT,0.4321,0.9207,0.3203,0.4752,0.00299,129.8
3,HAT,0.4248,0.9182,0.3327,0.4884,0.00299,115.4
4,HAT,0.4182,0.9105,0.3381,0.4931,0.00298,138.9
5,HAT,0.4165,0.9003,0.3465,0.5004,0.00297,132.9
6,HAT,0.4203,0.9156,0.3321,0.4874,0.00296,122.9
7,HAT,0.4119,0.9054,0.3388,0.4930,0.00295,115.3
8,HAT,0.4006,0.9054,0.3407,0.4951,0.00294,115.0
9,HAT,0.4155,0.9003,0.3356,0.4889,0.00293,114.6
10,HAT,0.4008,0.9182,0.3194,0.4739,0.00291,110.8
11,HAT,0.4044,0.9003,0.3296,0.4825,0.00289,114.8
12,HAT,0.4170,0.8798,0.3532,0.5040,0.00288,120.6
13,HAT,0.4036,0.8951,0.3330,0.4854,0.00286,124.2
14,HAT,0.4077,0.9054,0.3340,0.4879,0.00284,107.6
15,HAT,0.4083,0.8900,0.3459,0.4982,0.00281,117.2
16,HAT,0.3973,0.9028,0.3424,0.4965,0.00279,106.2
17,HAT,0.3953,0.8900,0.3470,0.4993,0.00277,108.6
18,HAT,0.3903,0.8747,0.3427,0.4924,0.00274,114.5
19,HAT,0.4030,0.8926,0.3425,0.4950,0.00271,96.0
20,HAT,0.3998,0.9207,0.3324,0.4885,0.00269,95.1
21,HAT,0.3888,0.8951,0.3418,0.4947,0.00266,94.0
22,HAT,0.3928,0.8900,0.3425,0.4947,0.00263,85.6
23,HAT,0.3811,0.8926,0.3455,0.4982,0.00259,73.0
24,HAT,0.4017,0.9003,0.3359,0.4892,0.00256,72.9
25,HAT,0.3883,0.9054,0.3352,0.4893,0.00253,73.5
26,HAT,0.3915,0.9028,0.3336,0.4872,0.00249,75.6
27,HAT,0.3847,0.9079,0.3245,0.4781,0.00246,74.4
28,QAT,0.3935,0.8517,0.3704,0.5163,0.00242,74.1
29,QAT,0.3936,0.8977,0.3411,0.4944,0.00238,75.2
30,QAT,0.3848,0.9079,0.3308,0.4850,0.00234,74.1
31,QAT,0.3878,0.8977,0.3421,0.4954,0.00230,74.1
32,QAT,0.3953,0.9028,0.3417,0.4958,0.00226,74.9
33,QAT,0.3881,0.9028,0.3365,0.4903,0.00222,78.2
34,QAT,0.3853,0.8670,0.3775,0.5260,0.00218,85.3
35,QAT,0.3980,0.9003,0.3378,0.4913,0.00214,73.2
36,QAT,0.3991,0.8721,0.3694,0.5190,0.00210,73.0
37,QAT,0.3986,0.9028,0.3349,0.4886,0.00205,75.2
38,QAT,0.3780,0.9003,0.3349,0.4882,0.00201,76.2
39,QAT,0.3936,0.9028,0.3311,0.4846,0.00196,76.7
40,QAT,0.3890,0.8261,0.4043,0.5429,0.00192,76.7
41,QAT,0.3905,0.9028,0.3537,0.5083,0.00187,76.4
42,QAT,0.3902,0.9079,0.3352,0.4897,0.00183,85.3
43,QAT,0.4051,0.9054,0.3522,0.5072,0.00178,90.4
44,QAT,0.3788,0.9003,0.3559,0.5101,0.00173,78.0
45,QAT,0.3846,0.8951,0.3601,0.5136,0.00169,77.3
46,QAT,0.3877,0.9028,0.3519,0.5065,0.00164,72.7
47,QAT,0.3745,0.8977,0.3421,0.4954,0.00159,77.7
48,QAT,0.3832,0.8951,0.3564,0.5098,0.00155,63.3
49,QAT,0.3862,0.8645,0.3735,0.5216,0.00150,57.0
50,QAT,0.3861,0.8593,0.3767,0.5238,0.00145,86.8
51,QAT,0.3850,0.9003,0.3375,0.4909,0.00141,106.3
52,QAT,0.3852,0.9028,0.3372,0.4910,0.00136,79.9
53,QAT,0.3814,0.9028,0.3362,0.4899,0.00131,78.8
54,QAT,0.3729,0.9003,0.3359,0.4892,0.00127,80.6
55,QAT,0.3892,0.8772,0.3765,0.5269,0.00122,82.8
