epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.7396,0.0000,0.0000,0.0000,0.00300,71.3
1,HAT,1.1349,0.8926,0.3382,0.4905,0.00300,68.3
2,HAT,0.4290,0.9233,0.3592,0.5172,0.00299,71.2
3,HAT,0.4287,0.9130,0.3673,0.5238,0.00299,70.4
4,HAT,0.4283,0.9207,0.3651,0.5229,0.00298,74.9
5,HAT,0.4136,0.9233,0.3710,0.5293,0.00297,71.4
6,HAT,0.3931,0.9309,0.3753,0.5349,0.00296,75.4
7,HAT,0.3997,0.9386,0.3655,0.5262,0.00295,79.6
8,HAT,0.3950,0.9514,0.3608,0.5232,0.00294,70.4
9,HAT,0.3798,0.9412,0.3640,0.5250,0.00293,70.1
10,HAT,0.4008,0.9488,0.3634,0.5255,0.00291,71.6
11,HAT,0.3818,0.9514,0.3672,0.5299,0.00289,72.1
12,HAT,0.3858,0.9514,0.3680,0.5307,0.00288,70.2
13,HAT,0.3779,0.9540,0.3563,0.5188,0.00286,71.8
14,HAT,0.3814,0.9488,0.3627,0.5248,0.00284,71.8
15,HAT,0.3704,0.9514,0.3608,0.5232,0.00281,69.8
16,HAT,0.3714,0.9540,0.3435,0.5051,0.00279,70.9
17,HAT,0.3819,0.9540,0.3493,0.5113,0.00277,72.7
18,HAT,0.3777,0.9514,0.3523,0.5142,0.00274,73.9
19,HAT,0.3684,0.9514,0.3608,0.5232,0.00271,73.2
20,HAT,0.3792,0.9463,0.3599,0.5215,0.00269,73.1
21,HAT,0.3842,0.9437,0.3632,0.5245,0.00266,69.5
22,QAT,0.3752,0.9514,0.3608,0.5232,0.00263,73.2
23,QAT,0.3730,0.9361,0.3656,0.5259,0.00259,70.4
24,QAT,0.3936,0.9514,0.3503,0.5120,0.00256,71.5
25,QAT,0.3853,0.9514,0.3388,0.4997,0.00253,71.4
26,QAT,0.3900,0.9412,0.3576,0.5183,0.00249,74.5
27,QAT,0.3799,0.9437,0.3618,0.5230,0.00246,72.2
28,QAT,0.3818,0.9514,0.3429,0.5041,0.00242,72.3
29,QAT,0.3697,0.9488,0.3327,0.4927,0.00238,73.5
30,QAT,0.3812,0.9335,0.3875,0.5476,0.00234,71.2
31,QAT,0.3862,0.9284,0.3685,0.5276,0.00230,72.8
32,QAT,0.3663,0.9054,0.3734,0.5288,0.00226,76.2
33,QAT,0.3743,0.9361,0.3869,0.5475,0.00222,70.7
34,QAT,0.3756,0.9488,0.3527,0.5142,0.00218,72.5
35,QAT,0.3646,0.9335,0.3607,0.5203,0.00214,72.4
36,QAT,0.3803,0.9540,0.3172,0.4761,0.00210,70.5
37,QAT,0.3683,0.9463,0.3610,0.5226,0.00205,71.7
38,QAT,0.3769,0.9258,0.3803,0.5391,0.00201,72.1
39,QAT,0.3864,0.9335,0.3763,0.5364,0.00196,72.3
40,QAT,0.3706,0.9437,0.3488,0.5093,0.00192,71.4
41,QAT,0.3818,0.9514,0.3490,0.5106,0.00187,72.0
42,QAT,0.3772,0.9412,0.3702,0.5314,0.00183,72.3
43,QAT,0.3756,0.9488,0.3388,0.4993,0.00178,72.6
44,QAT,0.3687,0.9412,0.3505,0.5108,0.00173,72.3
45,QAT,0.3826,0.9514,0.3166,0.4751,0.00169,68.7
