epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,0.7696,0.9309,0.3087,0.4637,0.00300,73.2
1,HAT,0.5752,0.9488,0.3019,0.4580,0.00300,70.1
2,HAT,0.5351,0.9309,0.3130,0.4685,0.00299,69.2
3,HAT,0.5454,0.8772,0.3410,0.4911,0.00299,68.6
4,HAT,0.5703,0.8721,0.3455,0.4949,0.00298,68.8
5,HAT,0.5472,0.8593,0.3533,0.5007,0.00297,72.0
6,HAT,0.5236,0.8542,0.3678,0.5142,0.00296,68.0
7,HAT,0.5232,0.8517,0.3797,0.5252,0.00295,77.5
8,HAT,0.5194,0.8568,0.3756,0.5222,0.00294,70.4
9,HAT,0.5230,0.8465,0.3809,0.5254,0.00293,71.8
10,HAT,0.5051,0.8210,0.3891,0.5280,0.00291,71.8
11,HAT,0.5171,0.8261,0.3896,0.5295,0.00289,70.2
12,HAT,0.5021,0.8005,0.3952,0.5292,0.00288,71.1
13,HAT,0.5187,0.8210,0.3831,0.5224,0.00286,70.7
14,HAT,0.5057,0.8312,0.3753,0.5171,0.00284,70.6
15,HAT,0.4924,0.8235,0.3797,0.5198,0.00281,70.9
16,HAT,0.5123,0.8184,0.3893,0.5276,0.00279,73.3
17,HAT,0.5132,0.8363,0.3785,0.5211,0.00277,71.4
18,HAT,0.5036,0.8568,0.3706,0.5174,0.00274,72.7
19,HAT,0.5084,0.8568,0.3673,0.5142,0.00271,71.2
20,HAT,0.4979,0.8363,0.3776,0.5203,0.00269,70.3
21,HAT,0.5041,0.8312,0.3736,0.5155,0.00266,72.6
22,HAT,0.4969,0.8414,0.3730,0.5169,0.00263,71.6
23,HAT,0.4993,0.8286,0.3825,0.5234,0.00259,68.8
24,HAT,0.5021,0.8184,0.3819,0.5207,0.00256,73.4
25,HAT,0.4976,0.8414,0.3764,0.5202,0.00253,73.2
26,HAT,0.5032,0.8619,0.3683,0.5161,0.00249,70.4
27,QAT,0.4903,0.8696,0.3700,0.5191,0.00246,69.7
28,QAT,0.5060,0.8056,0.3870,0.5228,0.00242,73.6
29,QAT,0.5012,0.8338,0.3928,0.5340,0.00238,73.0
30,QAT,0.4957,0.7980,0.4000,0.5329,0.00234,72.4
31,QAT,0.4996,0.8056,0.3899,0.5254,0.00230,71.3
32,QAT,0.5006,0.8517,0.3742,0.5199,0.00226,69.3
33,QAT,0.4991,0.8670,0.3693,0.5180,0.00222,70.9
34,QAT,0.4956,0.8542,0.3728,0.5190,0.00218,71.0
35,QAT,0.5002,0.8338,0.3876,0.5292,0.00214,73.8
36,QAT,0.5015,0.8235,0.3735,0.5140,0.00210,71.2
37,QAT,0.4932,0.8542,0.3736,0.5198,0.00205,70.9
38,QAT,0.4955,0.8517,0.3737,0.5195,0.00201,70.5
39,QAT,0.4971,0.8517,0.3742,0.5199,0.00196,70.1
40,QAT,0.4888,0.8875,0.3516,0.5036,0.00192,68.7
41,QAT,0.4949,0.8542,0.3740,0.5202,0.00187,71.5
42,QAT,0.4939,0.8286,0.3741,0.5155,0.00183,68.9
43,QAT,0.5104,0.8235,0.3727,0.5131,0.00178,69.7
44,QAT,0.5133,0.8107,0.3792,0.5167,0.00173,71.7
