epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,0.4685,0.8926,0.3455,0.4982,0.00300,120.2
1,HAT,0.4395,0.9079,0.3437,0.4986,0.00300,133.9
2,HAT,0.4235,0.9130,0.3266,0.4811,0.00299,127.2
3,HAT,0.4155,0.9054,0.3444,0.4989,0.00299,120.7
4,HAT,0.4109,0.9054,0.3481,0.5028,0.00298,132.2
5,HAT,0.4150,0.8824,0.3460,0.4971,0.00297,125.0
6,HAT,0.4138,0.8542,0.3516,0.4981,0.00296,118.2
7,HAT,0.4263,0.8491,0.3570,0.5026,0.00295,99.2
8,HAT,0.4127,0.8593,0.3391,0.4863,0.00294,115.0
9,HAT,0.4132,0.8261,0.3906,0.5304,0.00293,110.7
10,HAT,0.4135,0.8312,0.3925,0.5332,0.00291,109.1
11,HAT,0.4101,0.8286,0.3821,0.5230,0.00289,109.0
12,HAT,0.4126,0.8159,0.4085,0.5444,0.00288,117.8
13,HAT,0.4125,0.8542,0.3753,0.5215,0.00286,117.4
14,HAT,0.3999,0.8568,0.3722,0.5190,0.00284,115.5
15,HAT,0.4076,0.8824,0.3531,0.5044,0.00281,109.8
16,HAT,0.4003,0.8721,0.3760,0.5254,0.00279,103.8
17,HAT,0.4213,0.8568,0.3777,0.5243,0.00277,106.0
18,HAT,0.4160,0.8772,0.3749,0.5253,0.00274,102.4
19,HAT,0.4029,0.9079,0.3474,0.5025,0.00271,115.1
20,HAT,0.4053,0.8951,0.3504,0.5036,0.00269,74.6
21,HAT,0.4020,0.9054,0.3477,0.5025,0.00266,90.8
22,HAT,0.3851,0.9156,0.3439,0.5000,0.00263,87.4
23,HAT,0.3916,0.8951,0.3539,0.5072,0.00259,76.7
24,HAT,0.3887,0.9003,0.3705,0.5250,0.00256,67.8
25,HAT,0.3928,0.9054,0.3444,0.4989,0.00253,69.2
26,HAT,0.3912,0.8951,0.3657,0.5193,0.00249,70.2
27,HAT,0.3942,0.8926,0.3674,0.5205,0.00246,73.3
28,QAT,0.3968,0.9054,0.3430,0.4975,0.00242,72.2
29,QAT,0.3939,0.9105,0.3763,0.5325,0.00238,72.5
30,QAT,0.3920,0.9105,0.3678,0.5239,0.00234,71.1
31,QAT,0.3951,0.9054,0.3790,0.5343,0.00230,74.7
32,QAT,0.3864,0.9054,0.3774,0.5327,0.00226,71.9
33,QAT,0.3961,0.9079,0.3721,0.5279,0.00222,72.0
34,QAT,0.3959,0.9054,0.3711,0.5264,0.00218,73.0
35,QAT,0.3864,0.9156,0.3352,0.4907,0.00214,82.5
36,QAT,0.3958,0.8875,0.3801,0.5322,0.00210,69.4
37,QAT,0.3879,0.9130,0.3707,0.5273,0.00205,70.3
38,QAT,0.3837,0.9130,0.3684,0.5250,0.00201,72.4
39,QAT,0.3844,0.9003,0.3757,0.5301,0.00196,73.5
40,QAT,0.3845,0.9105,0.3371,0.4921,0.00192,72.9
41,QAT,0.3830,0.9182,0.3732,0.5307,0.00187,72.8
42,QAT,0.3952,0.9130,0.3703,0.5269,0.00183,69.3
43,QAT,0.3873,0.9079,0.3737,0.5295,0.00178,74.8
44,QAT,0.3807,0.9156,0.3718,0.5288,0.00173,81.7
45,QAT,0.3867,0.9130,0.3730,0.5297,0.00169,91.4
46,QAT,0.3779,0.8926,0.3741,0.5272,0.00164,71.8
