epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.6972,0.9412,0.1191,0.2114,0.00300,93.0
1,HAT,1.2332,0.9361,0.1552,0.2663,0.00300,92.6
2,HAT,1.1745,0.9335,0.1595,0.2725,0.00299,92.0
3,HAT,1.1031,0.9386,0.1502,0.2589,0.00299,91.1
4,HAT,1.0726,0.9412,0.1559,0.2674,0.00298,88.7
5,HAT,1.0858,0.9233,0.1797,0.3008,0.00297,89.3
6,HAT,1.0775,0.9488,0.1649,0.2810,0.00296,88.2
7,HAT,1.0474,0.9309,0.1645,0.2796,0.00295,89.1
8,HAT,1.0136,0.9284,0.1703,0.2878,0.00294,91.2
9,HAT,1.0049,0.9028,0.2021,0.3302,0.00293,91.1
10,HAT,0.9866,0.8849,0.2222,0.3552,0.00291,91.4
11,HAT,0.9922,0.9105,0.1940,0.3199,0.00289,86.7
12,HAT,0.9588,0.8926,0.2203,0.3534,0.00288,89.6
13,HAT,0.9503,0.8951,0.1998,0.3266,0.00286,93.5
14,HAT,0.9644,0.8977,0.2149,0.3468,0.00284,86.3
15,HAT,0.9725,0.8772,0.2236,0.3564,0.00281,88.4
16,HAT,0.9328,0.8772,0.2200,0.3518,0.00279,85.1
17,HAT,0.9285,0.8824,0.2136,0.3440,0.00277,89.0
18,HAT,0.9234,0.8721,0.2210,0.3526,0.00274,88.0
19,HAT,0.9177,0.8772,0.2172,0.3482,0.00271,88.1
20,HAT,0.9123,0.8900,0.2094,0.3390,0.00269,89.7
21,HAT,0.9288,0.8824,0.2193,0.3513,0.00266,90.9
22,HAT,0.9231,0.8747,0.2241,0.3568,0.00263,92.4
23,HAT,0.9040,0.8798,0.2214,0.3537,0.00259,87.1
24,HAT,0.9283,0.8824,0.2193,0.3513,0.00256,91.1
25,HAT,0.9229,0.8747,0.2205,0.3522,0.00253,89.4
26,HAT,0.9007,0.8568,0.2265,0.3583,0.00249,88.6
27,HAT,0.9150,0.8568,0.2198,0.3499,0.00246,89.2
28,HAT,0.9078,0.8517,0.2188,0.3481,0.00242,88.6
29,HAT,0.9024,0.8593,0.2205,0.3509,0.00238,87.0
30,HAT,0.9003,0.8747,0.2218,0.3539,0.00234,88.2
31,HAT,0.9117,0.8875,0.2246,0.3585,0.00230,89.5
32,HAT,0.9118,0.8900,0.2214,0.3546,0.00226,88.4
33,HAT,0.9053,0.8824,0.2248,0.3583,0.00222,88.6
34,HAT,0.9091,0.8721,0.2242,0.3567,0.00218,91.0
35,HAT,0.8972,0.8875,0.2219,0.3550,0.00214,91.6
36,HAT,0.9032,0.8926,0.2196,0.3525,0.00210,90.5
37,HAT,0.9043,0.8926,0.2189,0.3516,0.00205,87.6
38,HAT,0.8997,0.8951,0.2234,0.3575,0.00201,89.3
39,HAT,0.9204,0.8900,0.2267,0.3614,0.00196,86.4
40,HAT,0.9172,0.8772,0.2276,0.3614,0.00192,90.3
41,HAT,0.9184,0.8772,0.2261,0.3595,0.00187,88.3
42,HAT,0.9061,0.8721,0.2337,0.3686,0.00183,90.4
43,HAT,0.9112,0.8772,0.2327,0.3678,0.00178,91.9
44,HAT,0.9313,0.8670,0.2386,0.3742,0.00173,87.0
45,HAT,0.9167,0.8721,0.2306,0.3647,0.00169,89.2
46,HAT,0.9319,0.8696,0.2302,0.3640,0.00164,90.8
47,HAT,0.8954,0.8747,0.2346,0.3699,0.00159,89.7
48,HAT,0.9142,0.8696,0.2265,0.3594,0.00155,87.8
49,HAT,0.8908,0.8747,0.2297,0.3638,0.00150,89.7
50,QAT,0.9165,0.8747,0.2368,0.3728,0.00145,89.0
51,QAT,0.9241,0.8696,0.2337,0.3684,0.00141,90.0
52,QAT,0.9292,0.8619,0.2471,0.3840,0.00136,91.4
53,QAT,0.9257,0.8670,0.2455,0.3826,0.00131,91.5
54,QAT,0.9268,0.8747,0.2292,0.3633,0.00127,90.1
55,QAT,0.9268,0.8670,0.2340,0.3685,0.00122,90.0
56,QAT,0.9207,0.8619,0.2421,0.3780,0.00117,89.3
57,QAT,0.9261,0.8645,0.2419,0.3781,0.00113,90.0
58,QAT,0.9348,0.8517,0.2480,0.3841,0.00108,88.3
59,QAT,0.9331,0.8696,0.2408,0.3771,0.00104,90.0
60,QAT,0.9266,0.8593,0.2431,0.3790,0.00099,90.7
61,QAT,0.9391,0.8568,0.2424,0.3779,0.00095,97.2
62,QAT,0.9259,0.8389,0.2531,0.3889,0.00090,69.9
63,QAT,0.9332,0.8465,0.2454,0.3805,0.00086,58.9
64,QAT,0.9129,0.8824,0.2288,0.3633,0.00082,61.8
65,QAT,0.9275,0.8619,0.2404,0.3759,0.00078,64.2
66,QAT,0.9213,0.8389,0.2533,0.3891,0.00074,70.9
67,QAT,0.9337,0.8747,0.2367,0.3725,0.00070,65.5
68,QAT,0.9218,0.8670,0.2493,0.3872,0.00066,67.8
69,QAT,0.9128,0.8849,0.2281,0.3627,0.00062,67.5
70,QAT,0.9027,0.8875,0.2292,0.3643,0.00058,70.8
71,QAT,0.8997,0.8900,0.2267,0.3614,0.00054,71.7
72,QAT,0.9237,0.8875,0.2290,0.3641,0.00051,67.4
73,QAT,0.8950,0.8900,0.2269,0.3616,0.00047,70.3
74,QAT,0.9069,0.8772,0.2367,0.3728,0.00044,68.0
75,QAT,0.9042,0.8747,0.2336,0.3687,0.00041,81.1
76,QAT,0.8993,0.8772,0.2377,0.3740,0.00037,91.1
77,QAT,0.9263,0.8696,0.2373,0.3728,0.00034,71.7
78,QAT,0.9086,0.8824,0.2325,0.3680,0.00031,97.2
79,QAT,0.9102,0.8824,0.2379,0.3748,0.00029,109.0
80,QAT,0.9156,0.8849,0.2288,0.3636,0.00026,91.4
81,QAT,0.9082,0.8696,0.2374,0.3730,0.00023,88.4
