epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,3.5906,0.0000,0.0000,0.0000,0.00300,46.5
1,HAT,1.9985,0.7972,0.5354,0.6406,0.00300,45.4
2,HAT,1.6115,0.8679,0.5217,0.6517,0.00300,45.6
3,HAT,1.5347,0.8774,0.5027,0.6392,0.00299,46.9
4,HAT,1.4903,0.9151,0.4794,0.6292,0.00299,60.1
5,HAT,1.4543,0.9135,0.4878,0.6360,0.00298,50.6
6,HAT,1.4410,0.9198,0.4779,0.6290,0.00297,53.7
7,HAT,1.4723,0.9198,0.4839,0.6341,0.00297,54.0
8,HAT,1.5291,0.9182,0.4855,0.6351,0.00296,61.9
9,HAT,1.5228,0.9182,0.4875,0.6369,0.00295,85.2
10,HAT,1.5221,0.9403,0.4854,0.6403,0.00294,64.3
11,HAT,1.4785,0.9371,0.4922,0.6454,0.00293,43.4
12,HAT,1.4750,0.9450,0.4870,0.6428,0.00291,42.7
13,HAT,1.5184,0.9481,0.4836,0.6405,0.00290,44.8
14,HAT,1.5253,0.9513,0.4786,0.6368,0.00289,43.1
15,HAT,1.5051,0.9560,0.4791,0.6383,0.00287,45.2
16,HAT,1.4981,0.9544,0.4837,0.6420,0.00285,45.7
17,HAT,1.5253,0.9575,0.4822,0.6414,0.00284,49.8
18,HAT,1.5080,0.9575,0.4860,0.6448,0.00282,60.5
19,HAT,1.5453,0.9575,0.4792,0.6387,0.00280,60.8
20,HAT,1.5617,0.9513,0.4899,0.6467,0.00278,49.3
21,HAT,1.5468,0.9434,0.5314,0.6799,0.00276,44.9
22,HAT,1.5399,0.9497,0.5280,0.6787,0.00274,44.8
23,HAT,1.4947,0.9528,0.5288,0.6801,0.00271,44.7
24,HAT,1.4792,0.9292,0.5570,0.6965,0.00269,47.9
25,HAT,1.4978,0.9434,0.5391,0.6861,0.00267,45.5
26,HAT,1.5116,0.9513,0.5321,0.6825,0.00264,69.5
27,HAT,1.4579,0.9450,0.5361,0.6841,0.00261,51.9
28,HAT,1.4676,0.9434,0.5396,0.6865,0.00259,57.5
29,HAT,1.5450,0.9403,0.5392,0.6854,0.00256,46.6
30,HAT,1.5783,0.9308,0.5522,0.6932,0.00253,43.5
31,HAT,1.4809,0.9575,0.5219,0.6755,0.00250,42.8
32,HAT,1.5088,0.9450,0.5395,0.6869,0.00247,42.7
33,HAT,1.5032,0.9387,0.5487,0.6926,0.00244,43.1
34,HAT,1.5140,0.9481,0.5350,0.6841,0.00241,43.7
35,HAT,1.5444,0.9450,0.5380,0.6857,0.00238,43.4
36,HAT,1.4670,0.9450,0.5400,0.6872,0.00235,44.7
37,HAT,1.4915,0.9623,0.5182,0.6736,0.00232,41.7
38,HAT,1.4859,0.9607,0.5165,0.6718,0.00228,37.7
39,HAT,1.5238,0.9560,0.5315,0.6831,0.00225,36.8
40,HAT,1.5130,0.9434,0.5445,0.6904,0.00222,36.6
41,HAT,1.5840,0.9544,0.5315,0.6828,0.00218,36.7
42,HAT,1.4859,0.9418,0.5421,0.6881,0.00215,36.8
43,HAT,1.5257,0.9355,0.5474,0.6907,0.00211,36.3
44,HAT,1.5788,0.9544,0.5386,0.6886,0.00207,36.8
45,QAT,1.6733,0.9072,0.5828,0.7097,0.00204,56.2
46,QAT,1.7111,0.9182,0.5643,0.6990,0.00200,56.5
47,QAT,1.6969,0.9198,0.5652,0.7002,0.00196,55.9
48,QAT,1.6882,0.9182,0.5605,0.6961,0.00193,55.4
49,QAT,1.7283,0.9104,0.5755,0.7052,0.00189,56.0
50,QAT,1.6682,0.9182,0.5605,0.6961,0.00185,55.7
51,QAT,1.7207,0.9151,0.5640,0.6978,0.00181,56.8
52,QAT,1.6290,0.9214,0.5624,0.6985,0.00177,56.8
53,QAT,1.6582,0.9292,0.5597,0.6986,0.00173,56.4
54,QAT,1.6346,0.9277,0.5598,0.6982,0.00170,55.8
55,QAT,1.6854,0.9324,0.5563,0.6968,0.00166,56.3
56,QAT,1.5646,0.9324,0.5558,0.6964,0.00162,56.0
57,QAT,1.6029,0.9245,0.5698,0.7050,0.00158,56.9
58,QAT,1.6257,0.9340,0.5557,0.6968,0.00154,57.6
59,QAT,1.5511,0.9308,0.5564,0.6965,0.00150,64.6
60,QAT,1.6030,0.9292,0.5570,0.6965,0.00146,62.4
61,QAT,1.6341,0.9214,0.5706,0.7048,0.00142,55.1
62,QAT,1.6567,0.9418,0.5480,0.6929,0.00138,51.9
63,QAT,1.6027,0.9324,0.5552,0.6960,0.00134,55.9
64,QAT,1.6526,0.9292,0.5575,0.6969,0.00130,56.8
65,QAT,1.6407,0.9308,0.5670,0.7048,0.00127,55.1
