n_total,fitness,hidden_layers,layer_sizes,evaluated,seconds
4,0.9213,1,7-3-1,83,0.0
6,0.9833,2,7-3-2-1,236,0.0
8,0.9875,2,7-4-3-1,291,0.1
10,0.9700,2,7-5-4-1,322,0.0
