n_total,fitness,hidden_layers,layer_sizes,evaluated,seconds
4,0.5362,1,7-3-1,177,262.0
5,0.5608,1,7-4-1,273,417.2
6,0.5437,1,7-5-1,329,571.1
7,0.5577,1,7-6-1,357,626.7
8,0.5462,3,7-3-2-2-1,206,639.3
9,0.5558,1,7-8-1,354,677.3
10,0.5476,1,7-9-1,362,720.5
