SOUND=sounds/glass1.wav
[ms] | AMP | [ISI] - czas miedzy spike'ami | SPIKES_total
Wyslano: 1011 | Arduino: 2447 | 466 | 15981 | 97
Wyslano: 1019 | Arduino: 2468 | 469 | 16745 | 98
Wyslano: 1019 | Arduino: 2489 | 469 | 17147 | 99
Wyslano: 1015 | Arduino: 2521 | 466 | 14685 | 101
Wyslano: 1015 | Arduino: 2542 | 466 | 16064 | 101
Wyslano: 1007 | Arduino: 2563 | 465 | 16855 | 102
Wyslano: 1011 | Arduino: 2595 | 465 | 14597 | 104
Wyslano: 1003 | Arduino: 2615 | 464 | 16042 | 104
Wyslano: 1011 | Arduino: 2636 | 464 | 16859 | 105
Wyslano: 1011 | Arduino: 2657 | 464 | 17291 | 106
Wyslano: 1015 | Arduino: 2689 | 467 | 14708 | 108
Wyslano: 1019 | Arduino: 2710 | 470 | 16018 | 108
Wyslano: 1019 | Arduino: 2731 | 469 | 16765 | 109
Wyslano: 1019 | Arduino: 2763 | 471 | 14552 | 111
Wyslano: 1019 | Arduino: 2784 | 470 | 15926 | 111
Wyslano: 1023 | Arduino: 2805 | 473 | 16651 | 112
Wyslano: 1011 | Arduino: 2837 | 466 | 14566 | 114
Wyslano: 1019 | Arduino: 2857 | 469 | 15950 | 114
Wyslano: 1023 | Arduino: 2890 | 472 | 14305 | 116
Wyslano: 1019 | Arduino: 2910 | 468 | 15809 | 116
Wyslano: 1019 | Arduino: 2931 | 468 | 16668 | 117
Wyslano: 1023 | Arduino: 2952 | 471 | 17073 | 118
Wyslano: 1011 | Arduino: 2984 | 467 | 14645 | 120
Wyslano: 1007 | Arduino: 3004 | 466 | 16040 | 120
Wyslano: 1015 | Arduino: 3025 | 466 | 16826 | 121
Wyslano: 1023 | Arduino: 3046 | 473 | 17120 | 122
Wyslano: 1015 | Arduino: 3078 | 467 | 14622 | 124
Wyslano: 1011 | Arduino: 3098 | 466 | 16027 | 124
Wyslano: 1019 | Arduino: 3119 | 469 | 16770 | 125
Wyslano: 1007 | Arduino: 3140 | 465 | 17228 | 126
Wyslano: 1003 | Arduino: 3161 | 464 | 17479 | 127
Wyslano: 1023 | Arduino: 3193 | 474 | 14667 | 129
Wyslano: 1019 | Arduino: 3213 | 469 | 16009 | 129
Wyslano: 1019 | Arduino: 3234 | 469 | 16760 | 130
Wyslano: 999 | Arduino: 3255 | 464 | 17240 | 131
Wyslano: 1019 | Arduino: 3287 | 470 | 14658 | 133
Wyslano: 1019 | Arduino: 3307 | 469 | 16004 | 133
Wyslano: 1023 | Arduino: 3328 | 472 | 16709 | 134
Wyslano: 1011 | Arduino: 3349 | 466 | 17179 | 135
Wyslano: 1015 | Arduino: 3371 | 466 | 17419 | 136
Wyslano: 1011 | Arduino: 3393 | 466 | 17539 | 137
Wyslano: 1023 | Arduino: 3414 | 473 | 17475 | 138
Wyslano: 1019 | Arduino: 3446 | 469 | 14737 | 140
Wyslano: 1022 | Arduino: 3467 | 471 | 16020 | 140
Wyslano: 1018 | Arduino: 3488 | 467 | 16798 | 141
Wyslano: 1015 | Arduino: 3520 | 467 | 14549 | 143
Wyslano: 1017 | Arduino: 3540 | 467 | 15969 | 143
